Date,Open Price,Close Price,High,Low
2014-07-01,635.14,643.19,652.54,634.09
2014-07-02,643.19,645.72,652.1,604.58
2014-07-03,645.72,638.03,646.4,633.58
2014-07-04,638.03,623.96,642.22,623.04
2014-07-05,623.96,622.96,627.8,619.69
2014-07-06,622.96,626.65,629.44,622.65
2014-07-07,626.65,613.6,627.93,607.32
2014-07-08,613.6,615.32,619.65,609.35
2014-07-09,615.32,623.0,623.82,610.53
2014-07-10,623.0,618.39,624.95,611.66
2014-07-11,618.39,632.9,633.62,616.11
2014-07-12,632.9,635.9,638.59,625.9
2014-07-13,635.9,628.03,638.64,627.54
2014-07-14,628.03,618.32,628.99,616.06
2014-07-15,618.32,619.6,624.42,617.3
2014-07-16,619.6,614.8,622.36,614.15
2014-07-17,614.8,626.58,632.55,610.01
2014-07-18,626.58,627.47,630.15,617.92
2014-07-19,627.47,627.04,634.14,625.14
2014-07-20,627.04,620.98,627.93,619.96
2014-07-21,620.98,625.13,625.93,615.02
2014-07-22,625.13,622.53,628.81,620.0
2014-07-23,622.53,621.69,624.99,621.0
2014-07-24,621.69,601.87,621.96,599.38
2014-07-25,601.87,600.5,609.06,597.4
2014-07-26,600.5,596.0,602.98,593.25
2014-07-27,596.0,595.03,601.49,593.69
2014-07-28,595.03,587.93,597.49,578.14
2014-07-29,587.93,585.77,591.28,579.53
2014-07-30,585.77,564.64,586.13,564.18
2014-07-31,564.64,589.52,593.73,564.01
2014-08-01,589.52,598.78,603.99,586.43
2014-08-02,598.78,591.72,598.91,587.42
2014-08-03,591.72,588.94,592.06,580.62
2014-08-04,588.94,592.77,595.09,586.49
2014-08-05,592.77,588.76,594.25,585.44
2014-08-06,588.76,589.77,593.79,587.2
2014-08-07,589.77,592.8,595.08,587.92
2014-08-08,592.8,595.85,608.2,592.08
2014-08-09,595.85,589.52,595.56,587.41
2014-08-10,589.52,592.06,596.64,588.06
2014-08-11,592.06,575.89,593.62,571.72
2014-08-12,575.89,567.66,578.29,561.98
2014-08-13,567.66,542.1,573.51,523.15
2014-08-14,542.1,504.8,544.94,495.94
2014-08-15,504.8,496.45,515.24,483.21
2014-08-16,496.45,522.01,524.25,483.24
2014-08-17,522.01,485.5,524.71,478.22
2014-08-18,485.5,462.18,493.26,449.95
2014-08-19,462.18,485.12,487.05,455.8
2014-08-20,485.12,516.78,521.84,468.51
2014-08-21,516.78,517.94,537.17,511.36
2014-08-22,517.94,516.1,524.44,500.57
